date,workout_name,menu,set_order,weight,reps,distance,sec,note,workout_note,part
2018/6/29 6:37,Back Day fst7 #11,Underhand Cable Pulldowns,1,47.3,12,0,0,,,back
2018/6/29 6:37,Back Day fst7 #11,Underhand Cable Pulldowns,2,47.3,12,0,0,,,back
2018/6/29 6:37,Back Day fst7 #11,Underhand Cable Pulldowns,3,47.3,12,0,0,,,back
2017/11/24 6:33,Back Day fst7,Underhand Cable Pulldowns,1,32,12,0,0,,,back
2017/11/24 6:33,Back Day fst7,Underhand Cable Pulldowns,2,45,12,0,0,,,back
2017/11/24 6:33,Back Day fst7,Underhand Cable Pulldowns,3,45,12,0,0,,,back
2017/12/8 6:15,Back Day fst7,Underhand Cable Pulldowns,1,32,12,0,0,,,back
2017/12/8 6:15,Back Day fst7,Underhand Cable Pulldowns,2,45,12,0,0,,,back
2017/12/8 6:15,Back Day fst7,Underhand Cable Pulldowns,3,45,12,0,0,,,back
2017/12/15 6:17,Back Day fst7,Underhand Cable Pulldowns,1,39,12,0,0,,,back
2017/12/15 6:17,Back Day fst7,Underhand Cable Pulldowns,2,45,12,0,0,,,back
2017/12/15 6:17,Back Day fst7,Underhand Cable Pulldowns,3,45,12,0,0,,,back
2017/12/22 6:55,Back Day fst7,Underhand Cable Pulldowns,1,39,12,0,0,,,back
2017/12/22 6:55,Back Day fst7,Underhand Cable Pulldowns,2,45,12,0,0,,,back
2017/12/22 6:55,Back Day fst7,Underhand Cable Pulldowns,3,45,12,0,0,,,back
2018/1/19 6:09,Back Day fst7,Underhand Cable Pulldowns,1,39,12,0,0,,,back
2018/1/19 6:09,Back Day fst7,Underhand Cable Pulldowns,2,45,12,0,0,,,back
2018/1/19 6:09,Back Day fst7,Underhand Cable Pulldowns,3,45,12,0,0,,,back
2018/2/2 6:37,Back Day fst7,Underhand Cable Pulldowns,1,45,12,0,0,,,back
2018/2/2 6:37,Back Day fst7,Underhand Cable Pulldowns,2,45,12,0,0,,,back
2018/2/2 6:37,Back Day fst7,Underhand Cable Pulldowns,3,45,10,0,0,,,back
2018/2/2 6:37,Back Day fst7,Underhand Cable Pulldowns,4,39,10,0,0,,,back
2018/2/23 6:50,Back Day fst7,Underhand Cable Pulldowns,1,45,12,0,0,,,back
2018/2/23 6:50,Back Day fst7,Underhand Cable Pulldowns,2,45,10,0,0,,,back
2018/3/2 6:34,Back Day fst7,Underhand Cable Pulldowns,1,45,12,0,0,,,back
2018/3/2 6:34,Back Day fst7,Underhand Cable Pulldowns,2,45,12,0,0,,,back
2018/3/23 6:55,Back Day fst7,Underhand Cable Pulldowns,1,32,12,0,0,,,back
2018/3/23 6:55,Back Day fst7,Underhand Cable Pulldowns,2,45,12,0,0,,,back
2018/3/23 6:55,Back Day fst7,Underhand Cable Pulldowns,3,45,12,0,0,,,back
2018/3/30 6:19,Back Day fst7,Underhand Cable Pulldowns,1,45,12,0,0,,,back
2018/3/30 6:19,Back Day fst7,Underhand Cable Pulldowns,2,45,12,0,0,,,back
2018/3/30 6:19,Back Day fst7,Underhand Cable Pulldowns,3,39,12,0,0,,,back
2018/10/2 6:01,マンデルブロbackフェーズ2 #1,Undergrip Chinning,1,0,10,0,0,,,back
2018/10/2 6:01,マンデルブロbackフェーズ2 #1,Undergrip Chinning,2,10,6,0,0,,,back
2018/10/2 6:01,マンデルブロbackフェーズ2 #1,Undergrip Chinning,3,20,3,0,0,,,back
2018/10/2 6:01,マンデルブロbackフェーズ2 #1,Undergrip Chinning,4,40,7,0,0,,,back
2018/9/26 6:15,マンデルブロbackフェーズ2,Undergrip Chinning,1,0,10,0,0,,,back
2018/9/26 6:15,マンデルブロbackフェーズ2,Undergrip Chinning,2,0,6,0,0,,,back
2018/9/26 6:15,マンデルブロbackフェーズ2,Undergrip Chinning,3,20,7,0,0,,,back
2018/9/26 6:15,マンデルブロbackフェーズ2,Undergrip Chinning,4,40,7,0,0,,,back
2019/3/13 6:16,早朝ワークアウト,Triceps Extension (Dumbbell),1,26,10,0,0,,,tricep
2019/3/13 6:16,早朝ワークアウト,Triceps Extension (Dumbbell),2,26,12,0,0,,,tricep
2019/2/20 7:46,マンデルブロ腕フェーズ1,Triceps Extension (Cable),1,27,15,0,0,,,tricep
2019/2/20 7:46,マンデルブロ腕フェーズ1,Triceps Extension (Cable),2,27,15,0,0,,,tricep
2019/2/20 7:46,マンデルブロ腕フェーズ1,Triceps Extension (Barbell),1,20,10,0,0,,,tricep
2019/2/20 7:46,マンデルブロ腕フェーズ1,Triceps Extension (Barbell),2,20,10,0,0,,,tricep
